m_reaction,m_gene_reaction_rule,m_metabolites,m_subsystem,m_gene,seq_uniprot,seq_kegg,seq_mapped_pdbs,seq_domains,seq_file,struct_id,struct_is_experimental,struct_percent_seq_cov,struct_pdb,struct_resolution,struct_chemicals,struct_domains,struct_homology_template,struct_file
14GLUCANabcpp,(b4032 and b4034 and b4035 and b4033),14glucan_p;h2o_c;atp_c;14glucan_c;h_c;adp_c;pi_c,"Transport, Inner Membrane",b4035,P68187,ecj:JW3995;eco:b4035,1Q12;1Q1B;1Q1E;2AWN;2AWO;2R6G;3FH6;3GD7;3PUV;3PUW;3PUX;3PUY;3PUZ;3PV0;3RLF;4JBW;4KI0,d1oxxk1;d1oxxk2,P68187.fasta,REP-3rlf,True,0.9946236559139785,3rlf,2.2,MAL;UMQ;MG;PGV;ANP,PDP:3RLFGa;PDP:3RLFGb;PDP:3RLFFa;PDP:3RLFFb;PDP:3RLFFc;PDP:3Q27Aa;PDP:3Q27Ab;d1oxxk1;d1oxxk2,,3rlf-A_clean.pdb
14GLUCANabcpp,(b4032 and b4034 and b4035 and b4033),14glucan_p;h2o_c;atp_c;14glucan_c;h_c;adp_c;pi_c,"Transport, Inner Membrane",b4034,P0AEX9,ecj:JW3994;eco:b4034,1A7L;1ANF;1DMB;1EZ9;1EZO;1EZP;1FQA;1FQB;1FQC;1FQD;1HSJ;1IUD;1JVX;1JVY;1JW4;1JW5;1LAX;1LLS;1MDP;1MDQ;1MG1;1MH3;1MH4;1MPB;1MPC;1MPD;1N3W;1N3X;1NL5;1NMU;1OMP;1PEB;1R6Z;1SVX;1T0K;1Y4C;1YTV;1ZIU;1ZJL;1ZKB;1ZMG;2D21;2H25;2KLF;2MV0;2N44;2N45;2NVU;2OBG;2OK2;2R6G;2V93;2VGQ;2XZ3;2ZXT;3A3C;3C4M;3CSB;3CSG;3D4C;3D4G;3DM0;3EF7;3EHS;3EHT;3EHU;3F5F;3G7V;3G7W;3H3G;3H4Z;3HPI;3HST;3IO4;3IO6;3IOR;3IOT;3IOU;3IOV;3IOW;3J9P;3KJT;3L2J;3LBS;3LC8;3MBP;3MP1;3MP6;3MP8;3MQ9;3N94;3O3U;3OAI;3OB4;3OSQ;3OSR;3PGF;3PUV;3PUW;3PUX;3PUY;3PUZ;3PV0;3PY7;3Q25;3Q26;3Q27;3Q28;3Q29;3RLF;3RUM;3SER;3SES;3SET;3SEU;3SEV;3SEW;3SEX;3SEY;3VFJ;3W15;3WAI;3WOA;4B3N;4BL8;4BL9;4BLA;4BLB;4BLD;4DXB;4DXC;4EDQ;4EGC;4EXK;4FE8;4FEB;4FEC;4FED;4GIZ;4GLI;4IFP;4IKM;4IRL;4JBZ;4JKM;4KEG;4KHZ;4KI0;4KV3;4KYC;4KYD;4KYE;4LOG;4MBP;4N4X;4NDZ;4NUF;4O2X;4OGM;4PE2;4PQK;4QSZ;4QVH;4R0Y;4RG5;4RWF;4RWG;4TSM;4WJV;4WMS;4WMT;4WMU;4WMV;4WMW;4WMX;4WRN;4WTH;4WVH;4XA2;4XAJ;4XHS;4XR8;4XZS;4XZV;5AQ9;5AZ6;5AZ7;5AZ8;5AZ9;5AZA;5B3W;5B3X;5B3Y;5B3Z;5BK1;5BK2;5C7R;5CBN;5CFV;5DFM;5DIS;5E24;5EDU;5FIO;5FSG;5GRU;5GS2;5GXT;5GXV;5H7N;5H7Q;5HZ7;5HZV;5HZW;5I04;5I69;5IHJ;5II5;5IIC;5IQZ;5JJ4;5JST;5JTQ;5JTR;5LDF;5M13;5M14;5M15;5OSQ;5T03;5T05;5T0A;5TTD;5VAW;5WPZ;5WQ6;5Y2G;5YGP;5YGS;5Z0R;5Z0V;5ZCA;5ZNY;5ZNZ;5ZR0;6APX;6CXS;6D65;6D66;6D67;6DM8;6I4Y;6NDJ,PDP:3Q27Aa;PDP:3Q27Ab;d1r6za1;d1r6za2;PDP:1Y4CAa;PDP:1Y4CAb;PDP:1Y4CAc;PDP:1Y4CAd;PDP:3CSGAa;PDP:3CSGAb;PDP:3CSGAc;PDP:3A3CAa;PDP:3A3CAb;PDP:3A3CAc;PDP:3A3CAd;PDP:3C4MAa;PDP:3C4MAb;PDP:3C4MAc;PDP:3DM0Aa;PDP:3DM0Ab;PDP:3DM0Ac;PDP:3DM0Ad;PDP:3F5FAa;PDP:3F5FAb;PDP:3F5FAc;PDP:3F5FAd;PDP:3MP6Aa;PDP:3MP6Ab;PDP:3MP6Ac;PDP:3O3UNa;PDP:3O3UNb;PDP:3O3UNc;PDP:3O3UNd;PDP:3O3UNe;PDP:3OSRAa;PDP:3OSRAb;PDP:3OSRAc;PDP:3PY7Aa;PDP:3PY7Ab;PDP:3PY7Ac;PDP:3PY7Ad;PDP:3WAIAa;PDP:3WAIAb;PDP:3WAIAc;PDP:3WAIAd;PDP:3WAIAe;PDP:3WAIAf;PDP:4B3NAa;PDP:4B3NAb;PDP:4B3NAc;PDP:4BL8Aa;PDP:4BL8Ab;PDP:4BL8Ac;PDP:4BL8Ad;PDP:4BLBAa;PDP:4BLBAb;PDP:4BLBAc;PDP:4BLBAd;PDP:4DXBAa;PDP:4DXBAb;PDP:4DXBAc;PDP:4DXBAd;PDP:4EDQAa;PDP:4EDQAb;PDP:4EDQAc;PDP:4EGCAa;PDP:4EGCAb;PDP:4EGCAc;PDP:4EGCAd;PDP:4EXKAa;PDP:4EXKAb;PDP:4EXKAc;PDP:4KEGAa;PDP:4KEGAb;PDP:4KEGAc;PDP:4KV3Aa;PDP:4KV3Ab;PDP:4KV3Ac;PDP:4XAIAa;PDP:4XAIAb;PDP:4XAIAc;PDP:4QSZAa;PDP:4QSZAb;PDP:4QSZAc;PDP:4QSZAd;PDP:4QVHAa;PDP:4QVHAb;PDP:4QVHAc;PDP:4QVHAd;PDP:4QVHAe;PDP:4R0YAa;PDP:4R0YAb;PDP:4R0YAc;PDP:4RWFAa;PDP:4RWFAb;PDP:4RWFAc;PDP:4RWFAd;PDP:4WMUAa;PDP:4WMUAb;PDP:4WMUAc;PDP:4WVIAa;PDP:4WVIAb;PDP:4WVIAc;PDP:5AZAAa;PDP:5AZAAb;PDP:5AZAAc;PDP:5AZAAd;PDP:5AZAAe;PDP:5AZAAf;PDP:5AZAAg;PDP:5C7RAa;PDP:5C7RAb;PDP:5C7RAc;PDP:5DFMAa;PDP:5DFMAb;PDP:5DFMAc;PDP:5DISDa;PDP:5DISDb;PDP:5DISDc;PDP:5FSGAa;PDP:5FSGAb;PDP:5FSGAc;PDP:5HZ7Aa;PDP:5HZ7Ab;PDP:5HZ7Ac;PDP:5HZ7Ad,P0AEX9.fasta,REP-5h7q,True,0.7232323232323232,5h7q,1.451,ACT;MAL,,,5h7q-A_clean.pdb
14GLUCANabcpp,(b4032 and b4034 and b4035 and b4033),14glucan_p;h2o_c;atp_c;14glucan_c;h_c;adp_c;pi_c,"Transport, Inner Membrane",b4033,P02916,ecj:JW3993;eco:b4033,2R6G;3FH6;3PUV;3PUW;3PUX;3PUY;3PUZ;3PV0;3RLF;4JBW;4KHZ;4KI0,PDP:3RLFFa;PDP:3RLFFb;PDP:3RLFFc,P02916.fasta,REP-3rlf,True,0.953307392996109,3rlf,2.2,MAL;UMQ;MG;PGV;ANP,PDP:3RLFGa;PDP:3RLFGb;PDP:3RLFFa;PDP:3RLFFb;PDP:3RLFFc;PDP:3Q27Aa;PDP:3Q27Ab;d1oxxk1;d1oxxk2,,3rlf-F_clean.pdb
14GLUCANtexi,b4036,14glucan_p;14glucan_e,"Transport, Outer Membrane",b4036,P02943,ecj:JW3996;eco:b4036,1AF6;1MAL;1MPM;1MPN;1MPO;1MPQ,d2mpra_,P02943.fasta,REP-1af6,True,0.9439461883408071,1af6,2.4,MG;FRU;GLC,d2mpra_,,1af6-A_clean.pdb
23CAMPtex,(b0241 or b0929 or b1377 or b2215),23camp_e;23camp_p,"Transport, Outer Membrane Porin",b1377,P77747,ecj:JW1371;eco:b1377,,,P77747.fasta,REP-OMPN_ECOLI,False,1.0,,,,,2ixx,OMPN_ECOLI_model1_clean-X_clean.pdb
23CAMPtex,(b0241 or b0929 or b1377 or b2215),23camp_e;23camp_p,"Transport, Outer Membrane Porin",b0241,P02932,ecj:JW0231;eco:b0241,1PHO,PDP:5FVNAa,P02932.fasta,REP-PHOE_ECOLI,False,1.0,,,,,1pho,PHOE_ECOLI_model1_clean-X_clean.pdb
23CAMPtex,(b0241 or b0929 or b1377 or b2215),23camp_e;23camp_p,"Transport, Outer Membrane Porin",b2215,P06996,ecj:JW2203;eco:b2215,2J1N;2J4U;2ZLE;4A8D,PDP:5FVNAa,P06996.fasta,REP-2j1n,True,0.9427792915531336,2j1n,2.0,CL;MG;D12,PDP:5FVNAa,,2j1n-A_clean.pdb
23CAMPtex,(b0241 or b0929 or b1377 or b2215),23camp_e;23camp_p,"Transport, Outer Membrane Porin",b0929,P02931,ecj:JW0912;eco:b0929,1BT9;1GFM;1GFN;1GFO;1GFP;1GFQ;1HXT;1HXU;1HXX;1MPF;1OPF;2OMF;2ZFG;2ZLD;3FYX;3HW9;3HWB;3K19;3K1B;3O0E;3POQ;3POU;3POX;4D5U;4GCP;4GCQ;4GCS;4JFB;4LSE;4LSF;4LSH;4LSI;5NUO;5NUQ;5NUR,PDP:5FVNAa,P02931.fasta,REP-2zfg,True,0.93646408839779,2zfg,1.59,MG;C8E,PDP:5FVNAa,,2zfg-A_clean.pdb
23CCMPtex,(b0241 or b0929 or b1377 or b2215),23ccmp_e;23ccmp_p,"Transport, Outer Membrane Porin",b1377,P77747,ecj:JW1371;eco:b1377,,,P77747.fasta,REP-OMPN_ECOLI,False,1.0,,,,,2ixx,OMPN_ECOLI_model1_clean-X_clean.pdb
23CCMPtex,(b0241 or b0929 or b1377 or b2215),23ccmp_e;23ccmp_p,"Transport, Outer Membrane Porin",b0241,P02932,ecj:JW0231;eco:b0241,1PHO,PDP:5FVNAa,P02932.fasta,REP-PHOE_ECOLI,False,1.0,,,,,1pho,PHOE_ECOLI_model1_clean-X_clean.pdb
23CCMPtex,(b0241 or b0929 or b1377 or b2215),23ccmp_e;23ccmp_p,"Transport, Outer Membrane Porin",b0929,P02931,ecj:JW0912;eco:b0929,1BT9;1GFM;1GFN;1GFO;1GFP;1GFQ;1HXT;1HXU;1HXX;1MPF;1OPF;2OMF;2ZFG;2ZLD;3FYX;3HW9;3HWB;3K19;3K1B;3O0E;3POQ;3POU;3POX;4D5U;4GCP;4GCQ;4GCS;4JFB;4LSE;4LSF;4LSH;4LSI;5NUO;5NUQ;5NUR,PDP:5FVNAa,P02931.fasta,REP-2zfg,True,0.93646408839779,2zfg,1.59,MG;C8E,PDP:5FVNAa,,2zfg-A_clean.pdb
23CCMPtex,(b0241 or b0929 or b1377 or b2215),23ccmp_e;23ccmp_p,"Transport, Outer Membrane Porin",b2215,P06996,ecj:JW2203;eco:b2215,2J1N;2J4U;2ZLE;4A8D,PDP:5FVNAa,P06996.fasta,REP-2j1n,True,0.9427792915531336,2j1n,2.0,CL;MG;D12,PDP:5FVNAa,,2j1n-A_clean.pdb
23CGMPtex,(b0241 or b0929 or b1377 or b2215),23cgmp_p;23cgmp_e,"Transport, Outer Membrane Porin",b0241,P02932,ecj:JW0231;eco:b0241,1PHO,PDP:5FVNAa,P02932.fasta,REP-PHOE_ECOLI,False,1.0,,,,,1pho,PHOE_ECOLI_model1_clean-X_clean.pdb
23CGMPtex,(b0241 or b0929 or b1377 or b2215),23cgmp_p;23cgmp_e,"Transport, Outer Membrane Porin",b1377,P77747,ecj:JW1371;eco:b1377,,,P77747.fasta,REP-OMPN_ECOLI,False,1.0,,,,,2ixx,OMPN_ECOLI_model1_clean-X_clean.pdb
23CGMPtex,(b0241 or b0929 or b1377 or b2215),23cgmp_p;23cgmp_e,"Transport, Outer Membrane Porin",b0929,P02931,ecj:JW0912;eco:b0929,1BT9;1GFM;1GFN;1GFO;1GFP;1GFQ;1HXT;1HXU;1HXX;1MPF;1OPF;2OMF;2ZFG;2ZLD;3FYX;3HW9;3HWB;3K19;3K1B;3O0E;3POQ;3POU;3POX;4D5U;4GCP;4GCQ;4GCS;4JFB;4LSE;4LSF;4LSH;4LSI;5NUO;5NUQ;5NUR,PDP:5FVNAa,P02931.fasta,REP-2zfg,True,0.93646408839779,2zfg,1.59,MG;C8E,PDP:5FVNAa,,2zfg-A_clean.pdb
23CGMPtex,(b0241 or b0929 or b1377 or b2215),23cgmp_p;23cgmp_e,"Transport, Outer Membrane Porin",b2215,P06996,ecj:JW2203;eco:b2215,2J1N;2J4U;2ZLE;4A8D,PDP:5FVNAa,P06996.fasta,REP-2j1n,True,0.9427792915531336,2j1n,2.0,CL;MG;D12,PDP:5FVNAa,,2j1n-A_clean.pdb
23CUMPtex,(b0241 or b0929 or b1377 or b2215),23cump_p;23cump_e,"Transport, Outer Membrane Porin",b2215,P06996,ecj:JW2203;eco:b2215,2J1N;2J4U;2ZLE;4A8D,PDP:5FVNAa,P06996.fasta,REP-2j1n,True,0.9427792915531336,2j1n,2.0,CL;MG;D12,PDP:5FVNAa,,2j1n-A_clean.pdb
23CUMPtex,(b0241 or b0929 or b1377 or b2215),23cump_p;23cump_e,"Transport, Outer Membrane Porin",b1377,P77747,ecj:JW1371;eco:b1377,,,P77747.fasta,REP-OMPN_ECOLI,False,1.0,,,,,2ixx,OMPN_ECOLI_model1_clean-X_clean.pdb
23CUMPtex,(b0241 or b0929 or b1377 or b2215),23cump_p;23cump_e,"Transport, Outer Membrane Porin",b0241,P02932,ecj:JW0231;eco:b0241,1PHO,PDP:5FVNAa,P02932.fasta,REP-PHOE_ECOLI,False,1.0,,,,,1pho,PHOE_ECOLI_model1_clean-X_clean.pdb
23CUMPtex,(b0241 or b0929 or b1377 or b2215),23cump_p;23cump_e,"Transport, Outer Membrane Porin",b0929,P02931,ecj:JW0912;eco:b0929,1BT9;1GFM;1GFN;1GFO;1GFP;1GFQ;1HXT;1HXU;1HXX;1MPF;1OPF;2OMF;2ZFG;2ZLD;3FYX;3HW9;3HWB;3K19;3K1B;3O0E;3POQ;3POU;3POX;4D5U;4GCP;4GCQ;4GCS;4JFB;4LSE;4LSF;4LSH;4LSI;5NUO;5NUQ;5NUR,PDP:5FVNAa,P02931.fasta,REP-2zfg,True,0.93646408839779,2zfg,1.59,MG;C8E,PDP:5FVNAa,,2zfg-A_clean.pdb
23DAPPAtex,(b0241 or b0929 or b1377 or b2215),23dappa_e;23dappa_p,"Transport, Outer Membrane Porin",b1377,P77747,ecj:JW1371;eco:b1377,,,P77747.fasta,REP-OMPN_ECOLI,False,1.0,,,,,2ixx,OMPN_ECOLI_model1_clean-X_clean.pdb
23DAPPAtex,(b0241 or b0929 or b1377 or b2215),23dappa_e;23dappa_p,"Transport, Outer Membrane Porin",b2215,P06996,ecj:JW2203;eco:b2215,2J1N;2J4U;2ZLE;4A8D,PDP:5FVNAa,P06996.fasta,REP-2j1n,True,0.9427792915531336,2j1n,2.0,CL;MG;D12,PDP:5FVNAa,,2j1n-A_clean.pdb
23DAPPAtex,(b0241 or b0929 or b1377 or b2215),23dappa_e;23dappa_p,"Transport, Outer Membrane Porin",b0241,P02932,ecj:JW0231;eco:b0241,1PHO,PDP:5FVNAa,P02932.fasta,REP-PHOE_ECOLI,False,1.0,,,,,1pho,PHOE_ECOLI_model1_clean-X_clean.pdb
23DAPPAtex,(b0241 or b0929 or b1377 or b2215),23dappa_e;23dappa_p,"Transport, Outer Membrane Porin",b0929,P02931,ecj:JW0912;eco:b0929,1BT9;1GFM;1GFN;1GFO;1GFP;1GFQ;1HXT;1HXU;1HXX;1MPF;1OPF;2OMF;2ZFG;2ZLD;3FYX;3HW9;3HWB;3K19;3K1B;3O0E;3POQ;3POU;3POX;4D5U;4GCP;4GCQ;4GCS;4JFB;4LSE;4LSF;4LSH;4LSI;5NUO;5NUQ;5NUR,PDP:5FVNAa,P02931.fasta,REP-2zfg,True,0.93646408839779,2zfg,1.59,MG;C8E,PDP:5FVNAa,,2zfg-A_clean.pdb
23DOGULNt4pp,(b3577 and b3579 and b3578),na1_p;na1_c;23doguln_c;23doguln_p,"Transport, Inner Membrane",b3577,P37674,ecj:JW3549;eco:b3577,,,P37674.fasta,REP-YIAM_ECOLI,False,1.0,,,,,,YIAM_ECOLI_model1_clean-X_clean.pdb
23DOGULNt4pp,(b3577 and b3579 and b3578),na1_p;na1_c;23doguln_c;23doguln_p,"Transport, Inner Membrane",b3579,P37676,ecj:JW3551;eco:b3579,,,P37676.fasta,REP-YIAO_ECOLI,False,1.0,,,,,3b50,YIAO_ECOLI_model1_clean-X_clean.pdb
23DOGULNt4pp,(b3577 and b3579 and b3578),na1_p;na1_c;23doguln_c;23doguln_p,"Transport, Inner Membrane",b3578,P37675,ecj:JW5651;eco:b3578,,,P37675.fasta,REP-YIAN_ECOLI,False,1.0,,,,,2bku,YIAN_ECOLI_model1_clean-X_clean.pdb
23PDE2pp,b4213,h2o_p;23cump_p;3ump_p;h_p,Nucleotide Salvage Pathway,b4213,P08331,ecj:JW4171;eco:b4213,,,P08331.fasta,REP-CPDB_ECOLI,False,1.0,,,,,3qfk,CPDB_ECOLI_model1_clean-X_clean.pdb
23PDE4pp,b4213,h2o_p;3cmp_p;23ccmp_p;h_p,Nucleotide Salvage Pathway,b4213,P08331,ecj:JW4171;eco:b4213,,,P08331.fasta,REP-CPDB_ECOLI,False,1.0,,,,,3qfk,CPDB_ECOLI_model1_clean-X_clean.pdb
23PDE7pp,b4213,3amp_p;h2o_p;h_p;23camp_p,Nucleotide Salvage Pathway,b4213,P08331,ecj:JW4171;eco:b4213,,,P08331.fasta,REP-CPDB_ECOLI,False,1.0,,,,,3qfk,CPDB_ECOLI_model1_clean-X_clean.pdb
23PDE9pp,b4213,23cgmp_p;h_p;3gmp_p;h2o_p,Nucleotide Salvage Pathway,b4213,P08331,ecj:JW4171;eco:b4213,,,P08331.fasta,REP-CPDB_ECOLI,False,1.0,,,,,3qfk,CPDB_ECOLI_model1_clean-X_clean.pdb
26DAHtex,(b0241 or b0929 or b1377 or b2215),26dap__M_e;26dap__M_p,"Transport, Outer Membrane Porin",b2215,P06996,ecj:JW2203;eco:b2215,2J1N;2J4U;2ZLE;4A8D,PDP:5FVNAa,P06996.fasta,REP-2j1n,True,0.9427792915531336,2j1n,2.0,CL;MG;D12,PDP:5FVNAa,,2j1n-A_clean.pdb
26DAHtex,(b0241 or b0929 or b1377 or b2215),26dap__M_e;26dap__M_p,"Transport, Outer Membrane Porin",b0241,P02932,ecj:JW0231;eco:b0241,1PHO,PDP:5FVNAa,P02932.fasta,REP-PHOE_ECOLI,False,1.0,,,,,1pho,PHOE_ECOLI_model1_clean-X_clean.pdb
26DAHtex,(b0241 or b0929 or b1377 or b2215),26dap__M_e;26dap__M_p,"Transport, Outer Membrane Porin",b0929,P02931,ecj:JW0912;eco:b0929,1BT9;1GFM;1GFN;1GFO;1GFP;1GFQ;1HXT;1HXU;1HXX;1MPF;1OPF;2OMF;2ZFG;2ZLD;3FYX;3HW9;3HWB;3K19;3K1B;3O0E;3POQ;3POU;3POX;4D5U;4GCP;4GCQ;4GCS;4JFB;4LSE;4LSF;4LSH;4LSI;5NUO;5NUQ;5NUR,PDP:5FVNAa,P02931.fasta,REP-2zfg,True,0.93646408839779,2zfg,1.59,MG;C8E,PDP:5FVNAa,,2zfg-A_clean.pdb
26DAHtex,(b0241 or b0929 or b1377 or b2215),26dap__M_e;26dap__M_p,"Transport, Outer Membrane Porin",b1377,P77747,ecj:JW1371;eco:b1377,,,P77747.fasta,REP-OMPN_ECOLI,False,1.0,,,,,2ixx,OMPN_ECOLI_model1_clean-X_clean.pdb
2AGPA120tipp,b2835,2ddecg3p_c;2ddecg3p_p,"Transport, Inner Membrane",b2835,P39196,ecj:JW2803;eco:b2835,,,P39196.fasta,REP-LPLT_ECOLI,False,1.0,,,,,1pw4,LPLT_ECOLI_model1_clean-X_clean.pdb
2AGPA140tipp,b2835,2tdecg3p_c;2tdecg3p_p,"Transport, Inner Membrane",b2835,P39196,ecj:JW2803;eco:b2835,,,P39196.fasta,REP-LPLT_ECOLI,False,1.0,,,,,1pw4,LPLT_ECOLI_model1_clean-X_clean.pdb
2AGPA141tipp,b2835,2tdec7eg3p_p;2tdec7eg3p_c,"Transport, Inner Membrane",b2835,P39196,ecj:JW2803;eco:b2835,,,P39196.fasta,REP-LPLT_ECOLI,False,1.0,,,,,1pw4,LPLT_ECOLI_model1_clean-X_clean.pdb
2AGPA160tipp,b2835,2hdecg3p_c;2hdecg3p_p,"Transport, Inner Membrane",b2835,P39196,ecj:JW2803;eco:b2835,,,P39196.fasta,REP-LPLT_ECOLI,False,1.0,,,,,1pw4,LPLT_ECOLI_model1_clean-X_clean.pdb
2AGPA161tipp,b2835,2hdec9eg3p_c;2hdec9eg3p_p,"Transport, Inner Membrane",b2835,P39196,ecj:JW2803;eco:b2835,,,P39196.fasta,REP-LPLT_ECOLI,False,1.0,,,,,1pw4,LPLT_ECOLI_model1_clean-X_clean.pdb
2AGPA180tipp,b2835,2odecg3p_p;2odecg3p_c,"Transport, Inner Membrane",b2835,P39196,ecj:JW2803;eco:b2835,,,P39196.fasta,REP-LPLT_ECOLI,False,1.0,,,,,1pw4,LPLT_ECOLI_model1_clean-X_clean.pdb
2AGPA181tipp,b2835,2odec11eg3p_p;2odec11eg3p_c,"Transport, Inner Membrane",b2835,P39196,ecj:JW2803;eco:b2835,,,P39196.fasta,REP-LPLT_ECOLI,False,1.0,,,,,1pw4,LPLT_ECOLI_model1_clean-X_clean.pdb
2AGPE120tipp,b2835,2agpe120_p;2agpe120_c,"Transport, Inner Membrane",b2835,P39196,ecj:JW2803;eco:b2835,,,P39196.fasta,REP-LPLT_ECOLI,False,1.0,,,,,1pw4,LPLT_ECOLI_model1_clean-X_clean.pdb
2AGPE140tipp,b2835,2agpe140_c;2agpe140_p,"Transport, Inner Membrane",b2835,P39196,ecj:JW2803;eco:b2835,,,P39196.fasta,REP-LPLT_ECOLI,False,1.0,,,,,1pw4,LPLT_ECOLI_model1_clean-X_clean.pdb
2AGPE141tipp,b2835,2agpe141_c;2agpe141_p,"Transport, Inner Membrane",b2835,P39196,ecj:JW2803;eco:b2835,,,P39196.fasta,REP-LPLT_ECOLI,False,1.0,,,,,1pw4,LPLT_ECOLI_model1_clean-X_clean.pdb
2AGPE160tipp,b2835,2agpe160_p;2agpe160_c,"Transport, Inner Membrane",b2835,P39196,ecj:JW2803;eco:b2835,,,P39196.fasta,REP-LPLT_ECOLI,False,1.0,,,,,1pw4,LPLT_ECOLI_model1_clean-X_clean.pdb
2AGPE161tipp,b2835,2agpe161_p;2agpe161_c,"Transport, Inner Membrane",b2835,P39196,ecj:JW2803;eco:b2835,,,P39196.fasta,REP-LPLT_ECOLI,False,1.0,,,,,1pw4,LPLT_ECOLI_model1_clean-X_clean.pdb
