,fatcat_domain,u_uniprot_acc,pdb
272,PDP:5AJIAa,P0C0S1,4AGE
273,PDP:5AJIAb,P0C0S1,4AGE
274,PDP:5AJIAc,P0C0S1,4AGE
293,PDP:5AJIAa,P0C0S1,4AGF
294,PDP:5AJIAb,P0C0S1,4AGF
295,PDP:5AJIAc,P0C0S1,4AGF
314,PDP:5AJIAa,P0C0S1,4HWA
315,PDP:5AJIAb,P0C0S1,4HWA
316,PDP:5AJIAc,P0C0S1,4HWA
335,PDP:5AJIAa,P0C0S1,5AJI
336,PDP:5AJIAb,P0C0S1,5AJI
337,PDP:5AJIAc,P0C0S1,5AJI
356,PDP:4GEKAa,P76290,4IWN
358,PDP:5HBPAa,P55734,2MOI
359,PDP:5HBPAa,P55734,2MOL
360,PDP:2MPNAa,P55734,2MPN
362,PDP:5HBPAa,P55734,5HBL
363,PDP:5HBPAa,P55734,5HBO
364,PDP:5HBPAa,P55734,5HBP
365,PDP:5HBPAa,P55734,5HBQ
366,PDP:5HBPAa,P55734,5LAM
367,PDP:5HBPAa,P55734,5LAO
368,PDP:4ZVAAa,P0AA89,4ZVA
370,PDP:4ZVBAa,P0AA89,4ZVB
374,PDP:4ZVCAa,P0AA89,4ZVC
376,PDP:4ZVCAa,P0AA89,4ZVD
378,PDP:4ZVFAa,P0AA89,4ZVE
379,PDP:4ZVFAa,P0AA89,4ZVF
380,PDP:4ZVFAa,P0AA89,4ZVG
382,PDP:4ZVFAa,P0AA89,4ZVH
384,PDP:3T9OAa,P31129,3T9O
386,PDP:3TVKAa,P31129,3TVK
387,PDP:4H54Aa,P31129,4H54
388,PDP:4H54Ab,P31129,4H54
391,d1vh5a_,P77781,1SBK
395,d1vh5a_,P77781,1VH5
397,d1vh5a_,P77781,1VI8
405,d1vh5a_,P77781,4K49
409,d1vh5a_,P77781,4K4A
413,d1vh5a_,P77781,4K4B
421,d1rkqa_,P0A8Y5,1RKQ
423,PDP:3O72Aa,P31545,2Y4D
424,PDP:3O72Ab,P31545,2Y4D
427,PDP:3O72Aa,P31545,2Y4E
428,PDP:3O72Ab,P31545,2Y4E
431,PDP:3O72Aa,P31545,2Y4F
432,PDP:3O72Ab,P31545,2Y4F
435,PDP:4CVRAa,P0ABD3,1BCF
447,PDP:4CVRAa,P0ABD3,1BFR
471,PDP:4CVRAa,P0ABD3,2HTN
479,PDP:4CVRAa,P0ABD3,2VXI
491,PDP:4CVRAa,P0ABD3,2Y3Q
503,PDP:4CVRAa,P0ABD3,3E1J
515,PDP:4CVRAa,P0ABD3,3E1L
527,PDP:4CVRAa,P0ABD3,3E1M
539,PDP:4CVRAa,P0ABD3,3E1N
551,PDP:4CVRAa,P0ABD3,3E1O
563,PDP:4CVRAa,P0ABD3,3E1P
575,PDP:4CVRAa,P0ABD3,3E1Q
587,PDP:4CVRAa,P0ABD3,3E2C
589,PDP:4CVRAa,P0ABD3,3GHQ
601,PDP:4CVRAa,P0ABD3,4CVP
602,PDP:4CVRAa,P0ABD3,4CVR
603,PDP:4CVRAa,P0ABD3,4CVS
604,PDP:4CVRAa,P0ABD3,4CVT
605,PDP:4CVRAa,P0ABD3,4XKS
617,PDP:4CVRAa,P0ABD3,4XKT
629,PDP:4CVRAa,P0ABD3,4XKU
641,d2b0ca1,P0A8Y3,2B0C
642,d2c4na1,P0AF24,2C4N
643,d1n57a_,P31658,1IZY
645,d1n57a_,P31658,1IZZ
646,d1n57a_,P31658,1N57
647,d1n57a_,P31658,1ONS
648,d1n57a_,P31658,1PV2
656,d2fs2a1,P76084,1PSU
658,d2fs2a1,P76084,2FS2
660,d1xrua1,Q46938,1X8M
666,d1xrua1,Q46938,1XRU
668,PDP:5FI3Aa,P75691,1UUF
669,PDP:5FI3Ab,P75691,1UUF
670,PDP:2VWSAa,P76469,2VWS
673,PDP:2VWSAa,P76469,2VWT
676,PDP:3HN3Aa,P05804,3K46
677,PDP:3HN3Ab,P05804,3K46
678,PDP:3HN3Ac,P05804,3K46
682,PDP:3HN3Aa,P05804,3K4A
683,PDP:3HN3Ab,P05804,3K4A
684,PDP:3HN3Ac,P05804,3K4A
688,PDP:3HN3Aa,P05804,3K4D
689,PDP:3HN3Ab,P05804,3K4D
690,PDP:3HN3Ac,P05804,3K4D
694,PDP:3HN3Aa,P05804,3LPF
695,PDP:3HN3Ab,P05804,3LPF
696,PDP:3HN3Ac,P05804,3LPF
700,PDP:3HN3Aa,P05804,3LPG
701,PDP:3HN3Ab,P05804,3LPG
702,PDP:3HN3Ac,P05804,3LPG
706,PDP:3HN3Aa,P05804,4JHZ
707,PDP:3HN3Ab,P05804,4JHZ
708,PDP:3HN3Ac,P05804,4JHZ
712,PDP:3HN3Aa,P05804,5CZK
713,PDP:3HN3Ab,P05804,5CZK
714,PDP:3HN3Ac,P05804,5CZK
718,d1vhma_,P76270,1VHM
720,d1e0ga_,P0AEZ7,1E0G
721,PDP:3OXPAa,P69824,2OQ3
722,PDP:3L9WAa,P0A754,3EYW
723,PDP:3L9WAa,P03819,3EYW
724,PDP:3L9WAb,P0A754,3EYW
725,PDP:3L9WAb,P03819,3EYW
730,PDP:3L9WAa,P0A754,3L9W
731,PDP:3L9WAa,P03819,3L9W
732,PDP:3L9WAb,P0A754,3L9W
733,PDP:3L9WAb,P03819,3L9W
738,PDP:3L9WAa,P0A754,3L9X
739,PDP:3L9WAa,P03819,3L9X
740,PDP:3L9WAb,P0A754,3L9X
741,PDP:3L9WAb,P03819,3L9X
746,d2qm8a1,P27254,2P67
747,PDP:2PJPAa,P14081,2PJP
748,PDP:2PJPAb,P14081,2PJP
749,PDP:5ADY6a,P25519,5ADY
750,PDP:5ADY6b,P25519,5ADY
751,PDP:5ADY6c,P25519,5ADY
752,PDP:5ADY6d,P25519,5ADY
753,PDP:4IXNAa,P24203,1NIJ
754,PDP:4IXNAb,P24203,1NIJ
755,PDP:4IXNAc,P24203,1NIJ
756,PDP:4IXNAa,P24203,4IXM
757,PDP:4IXNAb,P24203,4IXM
758,PDP:4IXNAc,P24203,4IXM
762,PDP:4IXNAa,P24203,4IXN
763,PDP:4IXNAb,P24203,4IXN
764,PDP:4IXNAc,P24203,4IXN
768,PDP:4Q86Aa,P75838,4Q84
769,PDP:4Q86Ab,P75838,4Q84
770,PDP:4Q86Ac,P75838,4Q84
771,PDP:4Q86Ad,P75838,4Q84
776,PDP:4Q86Aa,P75838,4Q85
777,PDP:4Q86Ab,P75838,4Q85
778,PDP:4Q86Ac,P75838,4Q85
779,PDP:4Q86Ad,P75838,4Q85
808,PDP:4Q86Aa,P75838,4Q86
809,PDP:4Q86Ab,P75838,4Q86
810,PDP:4Q86Ac,P75838,4Q86
811,PDP:4Q86Ad,P75838,4Q86
840,d1ex2a_,P25536,4P0E
842,PDP:4K22Aa,P25535,4K22
843,PDP:4K22Ab,P25535,4K22
844,PDP:4K22Ac,P25535,4K22
848,PDP:3GLCAa,P76143,3GKF
868,PDP:3GLCAa,P76143,3GLC
888,PDP:3GLCAa,P76143,3GND
908,PDP:3GLCAa,P76143,4P2V
918,PDP:2WF7Aa,P77366,4G9B
919,PDP:2WF7Ab,P77366,4G9B
920,PDP:3OJ7Aa,P0ACE7,3N1S
928,PDP:3OJ7Aa,P0ACE7,3N1T
932,PDP:3G1PAa,P16692,3G1P
934,PDP:3G1PAa,P16692,3P2U
936,PDP:3EKGAa,P77215,2I5Q
937,PDP:3EKGAb,P77215,2I5Q
940,PDP:2ZBLAa,P32140,2RGK
946,PDP:2XVMAa,P25397,2XVA
947,PDP:2XVMAb,P25397,2XVA
954,PDP:2XVMAa,P25397,2XVM
955,PDP:2XVMAb,P25397,2XVM
958,d1sefa_,P75713,1RC6
960,d2f2ha1,P31434,1WE5
961,d2f2ha2,P31434,1WE5
962,d2f2ha3,P31434,1WE5
963,d2f2ha4,P31434,1WE5
984,d2f2ha1,P31434,1XSI
985,d2f2ha2,P31434,1XSI
986,d2f2ha3,P31434,1XSI
987,d2f2ha4,P31434,1XSI
1008,d2f2ha1,P31434,1XSJ
1009,d2f2ha2,P31434,1XSJ
1010,d2f2ha3,P31434,1XSJ
1011,d2f2ha4,P31434,1XSJ
1032,d2f2ha1,P31434,1XSK
1033,d2f2ha2,P31434,1XSK
1034,d2f2ha3,P31434,1XSK
1035,d2f2ha4,P31434,1XSK
1056,d2f2ha1,P31434,2F2H
1057,d2f2ha2,P31434,2F2H
1058,d2f2ha3,P31434,2F2H
1059,d2f2ha4,P31434,2F2H
1080,PDP:5FVNAa,P02932,1PHO
1081,PDP:5FVNAa,P02931,1BT9
1082,PDP:5FVNAa,P02931,1GFM
1083,PDP:5FVNAa,P02931,1GFN
1084,PDP:5FVNAa,P02931,1GFO
1085,PDP:5FVNAa,P02931,1GFP
1086,PDP:5FVNAa,P02931,1GFQ
1087,PDP:5FVNAa,P02931,1HXT
1088,PDP:5FVNAa,P02931,1HXU
1089,PDP:5FVNAa,P02931,1HXX
1090,PDP:5FVNAa,P02931,1MPF
1091,PDP:5FVNAa,P02931,1OPF
1097,PDP:5FVNAa,P02931,2OMF
1098,PDP:5FVNAa,P02931,2ZFG
1099,PDP:5FVNAa,P02931,2ZLD
1101,PDP:5FVNAa,P02931,3FYX
1102,PDP:5FVNAa,P02931,3HW9
1104,PDP:5FVNAa,P02931,3HWB
1106,PDP:5FVNAa,P02931,3K19
1118,PDP:5FVNAa,P02931,3K1B
1122,PDP:5FVNAa,P02931,3O0E
1127,PDP:5FVNAa,P02931,3POQ
1128,PDP:5FVNAa,P02931,3POU
1129,PDP:5FVNAa,P02931,3POX
1135,PDP:5FVNAa,P02931,4D5U
1141,PDP:5FVNAa,P02931,4GCP
1143,PDP:5FVNAa,P02931,4GCQ
1145,PDP:5FVNAa,P02931,4GCS
1147,PDP:5FVNAa,P02931,4JFB
1153,PDP:5FVNAa,P02931,4LSE
1156,PDP:5FVNAa,P02931,4LSF
1158,PDP:5FVNAa,P02931,4LSH
1160,PDP:5FVNAa,P02931,4LSI
1163,PDP:5FVNAa,P06996,2J1N
1166,PDP:5FVNAa,P06996,2J4U
1172,PDP:5FVNAa,P06996,2ZLE
1173,PDP:5FVNAa,P06996,3NB3
1174,PDP:5FVNAa,P06996,4A8D
1175,PDP:3RLFGa,P68183,2R6G
1176,PDP:3RLFGb,P68183,2R6G
1177,PDP:3RLFGa,P68183,3FH6
1178,PDP:3RLFGb,P68183,3FH6
1181,PDP:3RLFGa,P68183,3PUV
1182,PDP:3RLFGb,P68183,3PUV
1183,PDP:3RLFGa,P68183,3PUW
1184,PDP:3RLFGb,P68183,3PUW
1185,PDP:3RLFGa,P68183,3PUX
1186,PDP:3RLFGb,P68183,3PUX
1187,PDP:3RLFGa,P68183,3PUY
1188,PDP:3RLFGb,P68183,3PUY
1189,PDP:3RLFGa,P68183,3PUZ
1190,PDP:3RLFGb,P68183,3PUZ
1191,PDP:3RLFGa,P68183,3PV0
1192,PDP:3RLFGb,P68183,3PV0
1193,PDP:3RLFGa,P68183,3RLF
1194,PDP:3RLFGb,P68183,3RLF
1195,PDP:3RLFGa,P68183,4JBW
1196,PDP:3RLFGb,P68183,4JBW
1199,PDP:3RLFGa,P68183,4KI0
1200,PDP:3RLFGb,P68183,4KI0
1201,PDP:3RLFFa,P02916,2R6G
1202,PDP:3RLFFb,P02916,2R6G
1203,PDP:3RLFFc,P02916,2R6G
1204,PDP:3RLFFa,P02916,3FH6
1205,PDP:3RLFFb,P02916,3FH6
1206,PDP:3RLFFc,P02916,3FH6
1210,PDP:3RLFFa,P02916,3PUV
1211,PDP:3RLFFb,P02916,3PUV
1212,PDP:3RLFFc,P02916,3PUV
1213,PDP:3RLFFa,P02916,3PUW
1214,PDP:3RLFFb,P02916,3PUW
1215,PDP:3RLFFc,P02916,3PUW
1216,PDP:3RLFFa,P02916,3PUX
1217,PDP:3RLFFb,P02916,3PUX
1218,PDP:3RLFFc,P02916,3PUX
1219,PDP:3RLFFa,P02916,3PUY
1220,PDP:3RLFFb,P02916,3PUY
1221,PDP:3RLFFc,P02916,3PUY
1222,PDP:3RLFFa,P02916,3PUZ
1223,PDP:3RLFFb,P02916,3PUZ
1224,PDP:3RLFFc,P02916,3PUZ
1225,PDP:3RLFFa,P02916,3PV0
1226,PDP:3RLFFb,P02916,3PV0
1227,PDP:3RLFFc,P02916,3PV0
1228,PDP:3RLFFa,P02916,3RLF
1229,PDP:3RLFFb,P02916,3RLF
1230,PDP:3RLFFc,P02916,3RLF
1231,PDP:3RLFFa,P02916,4JBW
1232,PDP:3RLFFb,P02916,4JBW
1233,PDP:3RLFFc,P02916,4JBW
1237,PDP:3RLFFa,P02916,4KHZ
1238,PDP:3RLFFb,P02916,4KHZ
1239,PDP:3RLFFc,P02916,4KHZ
1240,PDP:3RLFFa,P02916,4KI0
1241,PDP:3RLFFb,P02916,4KI0
1242,PDP:3RLFFc,P02916,4KI0
1243,PDP:3Q27Aa,P0AEX9,1A7L
1244,PDP:3Q27Ab,P0AEX9,1A7L
1249,PDP:3Q27Aa,P0AEX9,1ANF
1250,PDP:3Q27Ab,P0AEX9,1ANF
1251,PDP:3Q27Aa,P0AEX9,1DMB
1252,PDP:3Q27Ab,P0AEX9,1DMB
1253,PDP:3Q27Aa,P0AEX9,1EZ9
1254,PDP:3Q27Ab,P0AEX9,1EZ9
1257,PDP:3Q27Aa,P0AEX9,1EZO
1258,PDP:3Q27Ab,P0AEX9,1EZO
1259,PDP:3Q27Aa,P0AEX9,1EZP
1260,PDP:3Q27Ab,P0AEX9,1EZP
1261,PDP:3Q27Aa,P0AEX9,1FQA
1262,PDP:3Q27Ab,P0AEX9,1FQA
1263,PDP:3Q27Aa,P0AEX9,1FQB
1264,PDP:3Q27Ab,P0AEX9,1FQB
1265,PDP:3Q27Aa,P0AEX9,1FQC
1266,PDP:3Q27Ab,P0AEX9,1FQC
1267,PDP:3Q27Aa,P0AEX9,1FQD
1268,PDP:3Q27Ab,P0AEX9,1FQD
1269,PDP:3Q27Aa,P0AEX9,1IUD
1270,PDP:3Q27Ab,P0AEX9,1IUD
1271,PDP:3Q27Aa,P0AEX9,1JVX
1272,PDP:3Q27Ab,P0AEX9,1JVX
1273,PDP:3Q27Aa,P0AEX9,1JVY
1274,PDP:3Q27Ab,P0AEX9,1JVY
1275,PDP:3Q27Aa,P0AEX9,1JW4
1276,PDP:3Q27Ab,P0AEX9,1JW4
1277,PDP:3Q27Aa,P0AEX9,1JW5
1278,PDP:3Q27Ab,P0AEX9,1JW5
1279,PDP:3Q27Aa,P0AEX9,1LAX
1280,PDP:3Q27Ab,P0AEX9,1LAX
1283,PDP:3Q27Aa,P0AEX9,1LLS
1284,PDP:3Q27Ab,P0AEX9,1LLS
1285,PDP:3Q27Aa,P0AEX9,1MDP
1286,PDP:3Q27Ab,P0AEX9,1MDP
1289,PDP:3Q27Aa,P0AEX9,1MDQ
1290,PDP:3Q27Ab,P0AEX9,1MDQ
1291,PDP:3Q27Aa,P0AEX9,1MG1
1292,PDP:3Q27Ab,P0AEX9,1MG1
1293,PDP:3Q27Aa,P0AEX9,1MH3
1294,PDP:3Q27Ab,P0AEX9,1MH3
1295,PDP:3Q27Aa,P0AEX9,1MH4
1296,PDP:3Q27Ab,P0AEX9,1MH4
1297,PDP:3Q27Aa,P0AEX9,1MPB
1298,PDP:3Q27Ab,P0AEX9,1MPB
1299,PDP:3Q27Aa,P0AEX9,1MPC
1300,PDP:3Q27Ab,P0AEX9,1MPC
1301,PDP:3Q27Aa,P0AEX9,1MPD
1302,PDP:3Q27Ab,P0AEX9,1MPD
1303,PDP:3Q27Aa,P0AEX9,1N3W
1304,PDP:3Q27Ab,P0AEX9,1N3W
1305,PDP:3Q27Aa,P0AEX9,1N3X
1306,PDP:3Q27Ab,P0AEX9,1N3X
1307,PDP:3Q27Aa,P0AEX9,1NL5
1308,PDP:3Q27Ab,P0AEX9,1NL5
1309,PDP:3Q27Aa,P0AEX9,1NMU
1310,PDP:3Q27Ab,P0AEX9,1NMU
1313,PDP:3Q27Aa,P0AEX9,1OMP
1314,PDP:3Q27Ab,P0AEX9,1OMP
1315,PDP:3Q27Aa,P0AEX9,1PEB
1316,PDP:3Q27Ab,P0AEX9,1PEB
1317,d1r6za1,P0AEX9,1R6Z
1318,d1r6za2,P0AEX9,1R6Z
1323,PDP:3Q27Aa,P0AEX9,1SVX
1324,PDP:3Q27Ab,P0AEX9,1SVX
1325,PDP:3Q27Aa,P0AEX9,1T0K
1326,PDP:3Q27Ab,P0AEX9,1T0K
1327,PDP:1Y4CAa,P0AEX9,1Y4C
1328,PDP:1Y4CAb,P0AEX9,1Y4C
1329,PDP:1Y4CAc,P0AEX9,1Y4C
1330,PDP:1Y4CAd,P0AEX9,1Y4C
1331,PDP:3Q27Aa,P0AEX9,1YTV
1332,PDP:3Q27Ab,P0AEX9,1YTV
1335,PDP:3Q27Aa,P0AEX9,1ZIU
1336,PDP:3Q27Ab,P0AEX9,1ZIU
1337,PDP:3Q27Aa,P0AEX9,1ZJL
1338,PDP:3Q27Ab,P0AEX9,1ZJL
1339,PDP:3Q27Aa,P0AEX9,1ZKB
1340,PDP:3Q27Ab,P0AEX9,1ZKB
1341,PDP:3Q27Aa,P0AEX9,1ZMG
1342,PDP:3Q27Ab,P0AEX9,1ZMG
1343,PDP:3Q27Aa,P0AEX9,2D21
1344,PDP:3Q27Ab,P0AEX9,2D21
1345,PDP:3Q27Aa,P0AEX9,2H25
1346,PDP:3Q27Ab,P0AEX9,2H25
1347,PDP:3Q27Aa,P0AEX9,2KLF
1348,PDP:3Q27Ab,P0AEX9,2KLF
1349,PDP:3Q27Aa,P0AEX9,2MV0
1350,PDP:3Q27Ab,P0AEX9,2MV0
1351,PDP:3Q27Aa,P0AEX9,2N44
1352,PDP:3Q27Ab,P0AEX9,2N44
1353,PDP:3Q27Aa,P0AEX9,2N45
1354,PDP:3Q27Ab,P0AEX9,2N45
1355,PDP:3CSGAa,P0AEX9,2OBG
1356,PDP:3CSGAb,P0AEX9,2OBG
1357,PDP:3CSGAc,P0AEX9,2OBG
1358,PDP:3Q27Aa,P0AEX9,2OK2
1359,PDP:3Q27Ab,P0AEX9,2OK2
1362,PDP:3Q27Aa,P0AEX9,2R6G
1363,PDP:3Q27Ab,P0AEX9,2R6G
1364,PDP:3Q27Aa,P0AEX9,2V93
1365,PDP:3Q27Ab,P0AEX9,2V93
1366,PDP:3Q27Aa,P0AEX9,2VGQ
1367,PDP:3Q27Ab,P0AEX9,2VGQ
1368,PDP:3A3CAa,P0AEX9,2ZXT
1369,PDP:3A3CAb,P0AEX9,2ZXT
1370,PDP:3A3CAc,P0AEX9,2ZXT
1371,PDP:3A3CAd,P0AEX9,2ZXT
1372,PDP:3A3CAa,P0AEX9,3A3C
1373,PDP:3A3CAb,P0AEX9,3A3C
1374,PDP:3A3CAc,P0AEX9,3A3C
1375,PDP:3A3CAd,P0AEX9,3A3C
1376,PDP:3C4MAa,P0AEX9,3C4M
1377,PDP:3C4MAb,P0AEX9,3C4M
1378,PDP:3C4MAc,P0AEX9,3C4M
1382,PDP:3CSGAa,P0AEX9,3CSB
1383,PDP:3CSGAb,P0AEX9,3CSB
1384,PDP:3CSGAc,P0AEX9,3CSB
1385,PDP:3CSGAa,P0AEX9,3CSG
1386,PDP:3CSGAb,P0AEX9,3CSG
1387,PDP:3CSGAc,P0AEX9,3CSG
1388,PDP:3Q27Aa,P0AEX9,3D4C
1389,PDP:3Q27Ab,P0AEX9,3D4C
1390,PDP:3DM0Aa,P0AEX9,3DM0
1391,PDP:3DM0Ab,P0AEX9,3DM0
1392,PDP:3DM0Ac,P0AEX9,3DM0
1393,PDP:3DM0Ad,P0AEX9,3DM0
1394,PDP:3Q27Aa,P0AEX9,3EHS
1395,PDP:3Q27Ab,P0AEX9,3EHS
1396,PDP:3Q27Aa,P0AEX9,3EHT
1397,PDP:3Q27Ab,P0AEX9,3EHT
1398,PDP:3Q27Aa,P0AEX9,3EHU
1399,PDP:3Q27Ab,P0AEX9,3EHU
1402,PDP:3F5FAa,P0AEX9,3F5F
1403,PDP:3F5FAb,P0AEX9,3F5F
1404,PDP:3F5FAc,P0AEX9,3F5F
1405,PDP:3F5FAd,P0AEX9,3F5F
1406,PDP:3Q27Aa,P0AEX9,3G7V
1407,PDP:3Q27Ab,P0AEX9,3G7V
1414,PDP:3Q27Aa,P0AEX9,3G7W
1415,PDP:3Q27Ab,P0AEX9,3G7W
1416,PDP:3C4MAa,P0AEX9,3H3G
1417,PDP:3C4MAb,P0AEX9,3H3G
1418,PDP:3C4MAc,P0AEX9,3H3G
1419,PDP:3Q27Aa,P0AEX9,3H4Z
1420,PDP:3Q27Ab,P0AEX9,3H4Z
1425,PDP:3Q27Aa,P0AEX9,3HPI
1426,PDP:3Q27Ab,P0AEX9,3HPI
1429,PDP:3Q27Aa,P0AEX9,3HST
1430,PDP:3Q27Ab,P0AEX9,3HST
1433,PDP:3Q27Aa,P0AEX9,3IO4
1434,PDP:3Q27Ab,P0AEX9,3IO4
1439,PDP:3Q27Aa,P0AEX9,3IO6
1440,PDP:3Q27Ab,P0AEX9,3IO6
1445,PDP:3Q27Aa,P0AEX9,3IOR
1446,PDP:3Q27Ab,P0AEX9,3IOR
1451,PDP:3Q27Aa,P0AEX9,3IOT
1452,PDP:3Q27Ab,P0AEX9,3IOT
1457,PDP:3Q27Aa,P0AEX9,3IOU
1458,PDP:3Q27Ab,P0AEX9,3IOU
1463,PDP:3Q27Aa,P0AEX9,3IOV
1464,PDP:3Q27Ab,P0AEX9,3IOV
1469,PDP:3Q27Aa,P0AEX9,3IOW
1470,PDP:3Q27Ab,P0AEX9,3IOW
1475,PDP:3Q27Aa,P0AEX9,3KJT
1476,PDP:3Q27Ab,P0AEX9,3KJT
1477,PDP:3C4MAa,P0AEX9,3L2J
1478,PDP:3C4MAb,P0AEX9,3L2J
1479,PDP:3C4MAc,P0AEX9,3L2J
1483,PDP:3Q27Aa,P0AEX9,3LBS
1484,PDP:3Q27Ab,P0AEX9,3LBS
1487,PDP:3Q27Aa,P0AEX9,3LC8
1488,PDP:3Q27Ab,P0AEX9,3LC8
1491,PDP:3Q27Aa,P0AEX9,3MBP
1492,PDP:3Q27Ab,P0AEX9,3MBP
1493,PDP:3MP6Aa,P0AEX9,3MP1
1494,PDP:3MP6Ab,P0AEX9,3MP1
1495,PDP:3MP6Ac,P0AEX9,3MP1
1496,PDP:3MP6Aa,P0AEX9,3MP6
1497,PDP:3MP6Ab,P0AEX9,3MP6
1498,PDP:3MP6Ac,P0AEX9,3MP6
1499,PDP:3MP6Aa,P0AEX9,3MP8
1500,PDP:3MP6Ab,P0AEX9,3MP8
1501,PDP:3MP6Ac,P0AEX9,3MP8
1502,PDP:3Q27Aa,P0AEX9,3MQ9
1503,PDP:3Q27Ab,P0AEX9,3MQ9
1518,PDP:3Q27Aa,P0AEX9,3N94
1519,PDP:3Q27Ab,P0AEX9,3N94
1520,PDP:3O3UNa,P0AEX9,3O3U
